6917096854676860143 False 0.00013375282287597656 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7869833660796949067 False 0.00013685226440429688 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
1430880564554075553 False 0.00012040138244628906 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4241809372557546152 False 3.814697265625e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7995911120884945598 False 3.0994415283203125e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7871695110445428514 False 2.86102294921875e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
3420294396237005550 False 3.0994415283203125e-06 pcputimes(user=0.14, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
5972502794747088226 False 2.86102294921875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2374003132741217365 False 0.00011110305786132812 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
4628105096569514583 False 0.00013327598571777344 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
7959843487699385287 False 0.00012636184692382812 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
730406103080152015 False 9.870529174804688e-05 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2444086543232740799 False 0.00014066696166992188 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
2779760811019705019 False 0.00012946128845214844 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
8549164241128355180 False 2.86102294921875e-06 pcputimes(user=0.15, system=0.02, children_user=0.0, children_system=0.0) pmem(rss=16453632, vms=63578112, shared=8253440, text=3817472, lib=0, data=7778304, dirty=0)
